Id;Entity type;Created by;Created date;Last changed by;Last changed;Dataset;Show in dataset;Status;Name;Alternative name;Not recommended name;Disambiguation;Other name;Description;Technical description;Sequence number;Code;History;Part of collection;Facility type;Time;Measurement;Activity;Heritage designation;Has part;Is part of;Was part of at time;Had part at time;Events;Same As;Same As (URL);Same as (internal);See also;Owned by;Replaced by;Replaces;Note;Free Note;Internal note;Topic;Semantic Note;Reference;Web reference;Alternative id;Editorial note;History note;Change note;Place holder;Source URI;Source URL;License;Attribution;Attribution URL
53a63c90-046d-41a6-ab54-95d5da2799c7;Building facility;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:45:17;6c9f4972-d510-4e68-a525-18e8a3ff27f0;18/09/2018 08:36:54;"Skansens byggnadsmiljöer (Skansen) [sv]";;"Published";"Älvrosgården, Skansen [sv]";;;;;;;;;;;"Museal byggnadsmiljö [sv]";;;;;"Bastun, Älvrosgården, Skansen (Museal byggnad) [sv]|Bostadshuset, Älvrosgården, Skansen (Museal byggnad) [sv]Brunnen, Älvrosgården, Skansen (Museal byggnad) [sv]Eldhuset, Älvrosgården, Skansen (Museal byggnad) [sv]Fähuset, Älvrosgården, Skansen (Museal byggnad) [sv]Höladan, Älvrosgården, Skansen (Museal byggnad) [sv]Ladan, Älvrosgården, Skansen (Museal byggnad) [sv]Lekstugan, Älvrosgården, Skansen (Museal byggnad) [sv]Logen och loftlängan, Älvrosgården, Skansen (Museal byggnad) [sv]Lövladan, Älvrosgården, Skansen (Museal byggnad) [sv]Smedjan, Älvrosgården, Skansen (Museal byggnad) [sv]Stallängan, Älvrosgården, Skansen (Museal byggnad) [sv]Stolpboden, Älvrosgården, Skansen (Museal byggnad) [sv]";;;;;"http://www.wikidata.org/entity/Q56573825";;;;;;;;;;;;;;"Skansen Primus ObjektId: 43047|Skansen Primus Identifikationsnummer: SKABYG.00301";;;;"No";;;"Public Domain Dedication (CC0)";;
b3ef5983-fda4-44cf-9d9b-5a0453a055f5;Building facility;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:45:17;7b89c094-da28-4fdb-bcd2-ce0db0df923e;26/09/2017 15:56:58;"Skansens byggnadsmiljöer (Skansen) [sv]";;"Published";"Bagarstugan, Skansen [sv]";;;;;;;;;;;"Museal byggnadsmiljö [sv]";;;;;"Bagarstugan, Skansen (Museal byggnad) [sv]";;;;;;;;;;;;;;;;;;;"Skansen Primus ObjektId: 42216|Skansen Primus Identifikationsnummer: SKABYG.00302";;;;"No";;;"Public Domain Dedication (CC0)";;
6dd331f7-7ae8-4024-8ea4-536a92f0eb8c;Building facility;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:45:14;d60be37a-1a45-4aa8-819b-4db938095dda;12/07/2022 09:47:40;"Skansens byggnadsmiljöer (Skansen) [sv]";;"Published";"Bagerigården, Skansen [sv]";;;;;;;;;;;"Museal byggnadsmiljö [sv]";;;;;"Bageriet, Skansen (Museal byggnad) [sv]";;;;;;"https://www.wikidata.org/wiki/Q10424669";;;;;;;;;;;;;"Skansen Primus ObjektId: 42222|Skansen Primus Identifikationsnummer: SKABYG.00111";;;;"No";;;"Public Domain Dedication (CC0)";;
86f07f54-4eab-4410-8140-8cc9e84f74e6;Building facility;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:45:20;d60be37a-1a45-4aa8-819b-4db938095dda;11/07/2022 13:43:47;"Skansens byggnadsmiljöer (Skansen) [sv]";;"Published";"Balderslunden, Skansen [sv]";;;;;;;;;;;"Museal byggnadsmiljö [sv]";;;;;"Högloftet, Skansen (Museal byggnad) [sv]|Nyloftet, Skansen (Museal byggnad) [sv]";;;;;;"https://www.wikidata.org/wiki/Q18290837";;;;;;;;;;;;;"Skansen Primus ObjektId: 67166|Skansen Primus Identifikationsnummer: SKABYG.00510";;;;"No";;;"Public Domain Dedication (CC0)";;
3a2493f7-f5b9-4c84-b6e5-e3d513b0c75d;Building facility;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:45:21;d60be37a-1a45-4aa8-819b-4db938095dda;13/08/2022 14:49:10;"Skansens byggnadsmiljöer (Skansen) [sv]";;"Published";"Bergsmansgården, Skansen [sv]";;;;;;;;;;;"Museal byggnadsmiljö [sv]";;;;;"Greksåsarboden, Bergsmansgården, Skansen (Museal byggnad) [sv]|Laxbrostugan, Bergsmansgården, Skansen (Museal byggnad) [sv]Vasslandsboden, Bergsmansgården, Skansen (Museal byggnad) [sv]Yrstatorpsboden, Bergsmansgården, Skansen (Museal byggnad) [sv]";;;;;"http://www.wikidata.org/entity/Q59708459";;;;;;;;;;;;;;"Skansen Primus ObjektId: 42619|Skansen Primus Identifikationsnummer: SKABYG.00602";;;;"No";;;"Public Domain Dedication (CC0)";;
0f931427-336e-4729-b2a1-de97d306cf95;Building facility;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:45:27;d60be37a-1a45-4aa8-819b-4db938095dda;13/08/2022 14:51:59;"Skansens byggnadsmiljöer (Skansen) [sv]";;"Published";"Bobergs observatorium, Skansen [sv]";;;;;;;;;;;"Museal byggnadsmiljö [sv]";;;;;"Bobergs observatorium, Skansen (Museal byggnad) [sv]";;;;;"http://www.wikidata.org/entity/Q59661968";;;;;;;;;;;;;;"Skansen Primus ObjektId: 42627|Skansen Primus Identifikationsnummer: SKABYG.00902";;;;"No";;;"Public Domain Dedication (CC0)";;
5253d015-1925-49a3-b017-12bb3b91aea4;Building facility;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:45:13;d60be37a-1a45-4aa8-819b-4db938095dda;13/08/2022 16:56:42;"Skansens byggnadsmiljöer (Skansen) [sv]";;"Published";"Boktryckargården, Skansen [sv]";;;;;;;;;;;"Museal byggnadsmiljö [sv]";;;;;"Boktryckeriet, Skansen (Museal byggnad) [sv]|Kryddkramhandlarens hus, Skansen (Museal byggnad) [sv]Kyrkoherdens lusthus, Boktryckargården, Skansen (Museal byggnad) [sv]";;;;;"http://www.wikidata.org/entity/Q10432271";;;;;;;;;;;;;;"Skansen Primus ObjektId: 42630|Skansen Primus Identifikationsnummer: SKABYG.00108";;;;"No";;;"Public Domain Dedication (CC0)";;
9247e617-9d20-448e-a4b6-e320072f617e;Building facility;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:45:17;d60be37a-1a45-4aa8-819b-4db938095dda;13/08/2022 17:03:48;"Skansens byggnadsmiljöer (Skansen) [sv]";;"Published";"Bollnässtugan, Skansen [sv]";;;;;;;;;;;"Museal byggnadsmiljö [sv]";;;;;"Bollnässtugan, Skansen (Museal byggnad) [sv]";;;;;"http://www.wikidata.org/entity/Q10432604";;;;;;;;;;;;;;"Skansen Primus ObjektId: 42223|Skansen Primus Identifikationsnummer: SKABYG.00303";;;;"No";;;"Public Domain Dedication (CC0)";;
32844c71-60db-4e65-bff8-f3eb4fcf6bc4;Building facility;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:45:19;d60be37a-1a45-4aa8-819b-4db938095dda;13/08/2022 17:06:13;"Skansens byggnadsmiljöer (Skansen) [sv]";;"Published";"Delsbogården, Skansen [sv]";;;;;;;;;;;"Museal byggnadsmiljö [sv]";;;;;"Edsängsstugan, Delsbogården, Skansen (Museal byggnad) [sv]|Fähuset, Delsbogården, Skansen (Museal byggnad) [sv]Sängstugan, Delsbogården, Skansen (Museal byggnad) [sv]Stallet och loglängan, Delsbogården, Skansen (Museal byggnad) [sv]Sunnanåshärbret, Delsbogården, Skansen (Museal byggnad) [sv]Tjärnmyrahärbret, Delsbogården, Skansen (Museal byggnad) [sv]Västerängsstugan, Delsbogården, Skansen (Museal byggnad) [sv]";;;;;"http://www.wikidata.org/entity/Q18202406";;;;;;;;;;;;;;"Skansen Primus ObjektId: 46675|Skansen Primus Identifikationsnummer: SKABYG.00314";;;;"No";;;"Public Domain Dedication (CC0)";;
22de63a0-da89-4f92-b231-847488f0bb9e;Building facility;dd5fb8ca-f314-4dbe-ae24-12a23bf57195;26/10/2016 14:45:27;d60be37a-1a45-4aa8-819b-4db938095dda;13/08/2022 17:07:38;"Skansens byggnadsmiljöer (Skansen) [sv]";;"Published";"Djurgårdspaviljongen, Skansen [sv]";;;;;;;;;;;"Museal byggnadsmiljö [sv]";;;;;"Djurgårdspaviljongen, Skansen (Museal byggnad) [sv]";;;;;"http://www.wikidata.org/entity/Q60218070";;;;;;;;;;;;;;"Skansen Primus ObjektId: 42225|Skansen Primus Identifikationsnummer: SKABYG.00913";;;;"No";;;"Public Domain Dedication (CC0)";;
